ID	Alldata_robust_kdp	Alldata_robust_hl	Alldata_robust_beta	Alldata_robust_beta.var	Mean_robust_kdp	Mean_robust_hl	Mean_robust_beta	Mean_robust_beta.var	Median_robust_kdp	Median_robust_hl	Median_robust_beta	Median_robust_beta.var	Threshold_robust_kdp	Threshold_robust_hl	Threshold_robust_beta	Threshold_robust_beta.var	Besttime_robust_kdp	Besttime_robust_hl	Besttime_robust_beta	Besttime_robust_beta.var	Best3time_robust_kdp	Best3time_robust_hl	Best3time_robust_beta	Best3time_robust_beta.var	Alldata_kdp	Alldata_hl	Alldata_beta	Alldata_beta.var	Mean_kdp	Mean_hl	Mean_beta	Mean_beta.var	Median_kdp	Median_hl	Median_beta	Median_beta.var	Threshold_kdp	Threshold_hl	Threshold_beta	Threshold_beta.var	Besttime_kdp	Besttime_hl	Besttime_beta	Besttime_beta.var	Best3time_kdp	Best3time_hl	Best3time_beta	Best3time_robust_beta.var
cds10152	0.021214974	32.67254484	0.035237175	5.52E-13	NA	NA	NA	NA	NA	NA	NA	NA	0.021219201	32.66603566	0.035241403	5.67E-13	0.019814446	34.98191131	0.033836647	3.55E-10	0.020807845	33.31182011	0.034830046	6.33E-12	0.021909173	31.63730432	0.035931375	9.28E-15	0.023854636	29.05712659	0.037876838	5.37E-08	0.022976003	30.16830955	0.036998205	6.37E-09	0.021913102	31.63163202	0.035935304	9.28E-15	0.01997245	34.70516536	0.033994652	2.82E-10	0.021305115	32.53430805	0.035327317	1.52E-11
cds10159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.117376831	5.905315176	0.131399032	2.97E-05	0.117376831	5.905315176	0.131399032	2.97E-05	0.117376831	5.905315176	0.131399032	2.97E-05	0.117376831	5.905315176	0.131399032	2.97E-05	NA	NA	NA	NA	0.117376831	5.905315176	0.131399032	2.97E-05
cds10162	0.016871228	41.08457157	0.03089343	7.84E-11	NA	NA	NA	NA	NA	NA	NA	NA	0.016871677	41.08347965	0.030893878	7.59E-11	0.015792544	43.89078673	0.029814746	5.64E-08	0.016764365	41.34646133	0.030786567	1.55E-09	0.014747537	47.00087754	0.028769739	6.84E-11	0.01628478	42.56411196	0.030306981	3.32E-09	0.017149676	40.41750812	0.031171878	1.95E-09	0.014747716	47.00030705	0.028769918	6.84E-11	0.013200446	52.50937609	0.027222648	1.30E-07	0.014547938	47.64573363	0.02857014	1.63E-10
cds10163	0.057933749	11.96447989	0.071955951	1.74E-07	NA	NA	NA	NA	NA	NA	NA	NA	0.057933749	11.96447989	0.071955951	1.74E-07	0.057933749	11.96447989	0.071955951	1.74E-07	0.057933749	11.96447989	0.071955951	1.74E-07	0.057933749	11.96447989	0.071955951	1.74E-07	NA	NA	NA	NA	NA	NA	NA	NA	0.057933749	11.96447989	0.071955951	1.74E-07	0.057933749	11.96447989	0.071955951	1.74E-07	0.057933749	11.96447989	0.071955951	1.74E-07
cds10164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02939632	23.57938595	0.043418522	1.69E-11	0.030037904	23.07575032	0.044060106	7.06E-11	0.030037904	23.07575032	0.044060106	7.06E-11	0.029406049	23.57158472	0.043428251	2.05E-11	NA	NA	NA	NA	0.029390557	23.58400929	0.043412759	4.07E-09
cds10183	0.020138539	34.41894043	0.034160741	2.16E-12	NA	NA	NA	NA	NA	NA	NA	NA	0.020138539	34.41894043	0.034160741	2.16E-12	0.019452217	35.63332481	0.033474419	3.35E-09	0.021284845	32.56529096	0.035307047	8.72E-10	0.020194565	34.32345199	0.034216767	2.58E-12	0.02051466	33.78789496	0.034536862	8.19E-10	0.021217925	32.66800017	0.035240127	7.79E-10	0.020194565	34.32345199	0.034216767	2.58E-12	0.019452217	35.63332481	0.033474419	3.35E-09	0.019973557	34.70324238	0.033995758	2.83E-10
cds10184	0.051285799	13.51538231	0.065308001	1.11E-11	NA	NA	NA	NA	NA	NA	NA	NA	0.051285799	13.51538231	0.065308001	1.11E-11	NA	NA	NA	NA	0.052829784	13.12038651	0.066851985	6.02E-11	0.041281314	16.79082165	0.055303516	8.48E-12	0.041461196	16.71797379	0.055483397	7.38E-08	0.041336797	16.76828472	0.055358999	7.38E-08	0.041281314	16.79082165	0.055303516	8.48E-12	1.201071366	0.577107406	1.215093567	0.556656258	0.053868792	12.86732358	0.067890994	1.26E-10
cds10186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026061665	26.5964278	0.040083866	8.60E-06	0.025554902	27.12384389	0.039577104	1.94E-07	0.025554902	27.12384389	0.039577104	1.94E-07	0.026061665	26.5964278	0.040083866	8.60E-06	NA	NA	NA	NA	0.026061665	26.5964278	0.040083866	8.60E-06
cds10189	0.03119758	22.21797932	0.045219781	5.00E-14	NA	NA	NA	NA	NA	NA	NA	NA	0.031202546	22.2144428	0.045224748	1.21E-12	0.036934439	18.76696132	0.05095664	2.15E-06	0.030970747	22.38070604	0.044992948	2.87E-10	0.027572983	25.13863583	0.041595185	1.65E-14	0.029935833	23.15443113	0.043958034	1.36E-09	0.030244119	22.91841215	0.04426632	1.04E-09	0.027575979	25.1359047	0.041598181	7.19E-14	0.036934439	18.76696132	0.05095664	2.15E-06	0.027266687	25.42102682	0.041288889	2.76E-07
cds10193	0.013116509	52.84540049	0.027138711	1.83E-11	NA	NA	NA	NA	NA	NA	NA	NA	0.013095019	52.93212665	0.02711722	8.24E-13	0.013039813	53.15622112	0.027062015	2.72E-11	0.013059902	53.07445454	0.027082104	2.20E-12	0.014146005	48.99949907	0.028168207	1.18E-12	0.014675048	47.23304487	0.028697249	5.94E-10	0.013570659	51.07690062	0.02759286	1.06E-11	0.014159184	48.95389319	0.028181386	1.18E-12	0.013665098	50.72390882	0.0276873	2.68E-09	0.014097556	49.16789575	0.028119758	7.89E-10
